MATNR,MATKL,YEAR_MONTH,DEMAND,REVENUE,N_ORDERS,MONTH,QUARTER,YEAR,IS_Q4,IS_SUMMER,LAG_1,LAG_2,LAG_3,LAG_6,LAG_12,ROLL_3_MEAN,ROLL_6_MEAN,ROLL_3_STD,MATKL_ENC
MAT000003,MECH,2024-05-01,402,149796.12999999998,4,5,2,2024,0,0,179.0,89.0,492.0,1112.0,1998.0,253.33333333333334,602.0,211.5332913121087,2
MAT000003,MECH,2024-06-01,151,26314.75,2,6,2,2024,0,1,402.0,179.0,89.0,1273.0,644.0,223.33333333333334,483.6666666666667,161.14072524763392,2
MAT000003,MECH,2024-07-01,69,26997.63,1,7,3,2024,0,1,151.0,402.0,179.0,467.0,1078.0,244.0,296.6666666666667,137.54635582231944,2
MAT000003,MECH,2024-08-01,29,553.32,1,8,3,2024,0,1,69.0,151.0,402.0,492.0,723.0,207.33333333333334,230.33333333333334,173.50024015353247,2
MAT000003,MECH,2024-11-01,177,45189.87,1,11,4,2024,1,0,29.0,69.0,151.0,89.0,1002.0,83.0,153.16666666666666,62.19324722186587,2
MAT000004,PACK,2022-02-01,82,19941.58,1,2,1,2022,0,0,325.0,736.0,79.0,697.0,71.0,380.0,545.0,331.9352346467606,0
MAT000004,PACK,2022-03-01,501,82598.85,4,3,1,2022,0,0,82.0,325.0,736.0,265.0,30.0,381.0,442.5,330.57676869374836,0
MAT000004,PACK,2022-04-01,455,89012.21,5,4,2,2022,0,0,501.0,82.0,325.0,1168.0,165.0,302.6666666666667,481.8333333333333,210.3909060138611,0
MAT000004,PACK,2022-05-01,427,102146.13,4,5,2,2022,0,0,455.0,501.0,82.0,79.0,267.0,346.0,363.0,229.7846818219178,0
MAT000004,PACK,2022-06-01,424,98882.22,5,6,2,2022,0,1,427.0,455.0,501.0,736.0,246.0,461.0,421.0,37.36308338453871,0
MAT000004,PACK,2022-07-01,430,89284.14,7,7,3,2022,0,1,424.0,427.0,455.0,325.0,47.0,435.3333333333333,369.0,17.09775813764266,0
MAT000004,PACK,2022-08-01,926,201942.0,8,8,3,2022,0,1,430.0,424.0,427.0,82.0,697.0,427.0,386.5,2.9999999999987117,0
MAT000004,PACK,2022-09-01,667,138999.2,7,9,3,2022,0,0,926.0,430.0,424.0,501.0,265.0,593.3333333333334,527.1666666666666,288.1134035988838,0
MAT000004,PACK,2022-10-01,1313,390323.42000000004,8,10,4,2022,1,0,667.0,926.0,430.0,455.0,1168.0,674.3333333333334,554.8333333333334,248.0813038770421,0
MAT000004,PACK,2022-11-01,1256,342772.49,8,11,4,2022,1,0,1313.0,667.0,926.0,427.0,79.0,968.6666666666666,697.8333333333334,325.1066491681358,0
MAT000004,PACK,2022-12-01,1345,360620.45,9,12,4,2022,1,0,1256.0,1313.0,667.0,424.0,736.0,1078.6666666666667,836.0,357.6511335552193,0
MAT000004,PACK,2023-01-01,829,227715.8,9,1,1,2023,0,0,1345.0,1256.0,1313.0,430.0,325.0,1304.6666666666667,989.5,45.08140784551085,0
MAT000004,PACK,2023-02-01,1242,221422.06,9,2,1,2023,0,0,829.0,1345.0,1256.0,926.0,82.0,1143.3333333333333,1056.0,275.8338872099171,0
MAT000004,PACK,2023-03-01,616,90527.97,7,3,1,2023,0,0,1242.0,829.0,1345.0,667.0,501.0,1138.6666666666667,1108.6666666666667,273.0793535464248,0
MAT000004,PACK,2023-04-01,691,111501.83,7,4,2,2023,0,0,616.0,1242.0,829.0,1313.0,455.0,895.6666666666666,1100.1666666666667,318.2802748103207,0
MAT000004,PACK,2023-05-01,1264,222672.15,15,5,2,2023,0,0,691.0,616.0,1242.0,1256.0,427.0,849.6666666666666,996.5,341.8337802694948,0
MAT000004,PACK,2023-06-01,1068,263149.09,14,6,2,2023,0,1,1264.0,691.0,616.0,1345.0,424.0,857.0,997.8333333333334,354.4615635016016,0
MAT000004,PACK,2023-07-01,797,173888.31,11,7,3,2023,0,1,1068.0,1264.0,691.0,829.0,430.0,1007.6666666666666,951.6666666666666,291.225571221576,0
MAT000004,PACK,2023-08-01,734,204966.33,8,8,3,2023,0,1,797.0,1068.0,1264.0,1242.0,926.0,1043.0,946.3333333333334,234.50159914166878,0
MAT000004,PACK,2023-09-01,494,137937.6,4,9,3,2023,0,0,734.0,797.0,1068.0,616.0,667.0,866.3333333333334,861.6666666666666,177.46642875015334,0
MAT000004,PACK,2023-10-01,1518,395440.05,9,10,4,2023,1,0,494.0,734.0,797.0,691.0,1313.0,675.0,841.3333333333334,159.88433319121646,0
MAT000004,PACK,2023-11-01,995,224771.09999999998,8,11,4,2023,1,0,1518.0,494.0,734.0,1264.0,1256.0,915.3333333333334,979.1666666666666,535.542092961266,0
MAT000004,PACK,2023-12-01,895,127540.96,7,12,4,2023,1,0,995.0,1518.0,494.0,1068.0,1345.0,1002.3333333333334,934.3333333333334,512.039386505895,0
MAT000004,PACK,2024-01-01,1078,223055.65,12,1,1,2024,0,0,895.0,995.0,1518.0,797.0,829.0,1136.0,905.5,334.57883973736296,0
MAT000004,PACK,2024-02-01,1216,305949.08,10,2,1,2024,0,0,1078.0,895.0,995.0,734.0,1242.0,989.3333333333334,952.3333333333334,91.63150840913475,0
MAT000004,PACK,2024-03-01,487,124552.42,5,3,1,2024,0,0,1216.0,1078.0,895.0,494.0,616.0,1063.0,1032.6666666666667,161.0248428038357,0
MAT000004,PACK,2024-04-01,191,27785.57,3,4,2,2024,0,0,487.0,1216.0,1078.0,1518.0,691.0,927.0,1031.5,387.24798256414454,0
MAT000004,PACK,2024-05-01,751,142893.63999999998,7,5,2,2024,0,0,191.0,487.0,1216.0,995.0,1264.0,631.3333333333334,810.3333333333334,527.522827310187,0
MAT000004,PACK,2024-06-01,180,23162.31,2,6,2,2024,0,1,751.0,191.0,487.0,895.0,1068.0,476.3333333333333,769.6666666666666,280.1523395107265,0
MAT000004,PACK,2024-07-01,114,53752.14,1,7,3,2024,0,1,180.0,751.0,191.0,1078.0,797.0,374.0,650.5,326.53789979112696,0
MAT000004,PACK,2024-08-01,386,125566.61,4,8,3,2024,0,1,114.0,180.0,751.0,1216.0,734.0,348.3333333333333,489.8333333333333,350.27750903152975,0
MAT000004,PACK,2024-09-01,258,45534.95,3,9,3,2024,0,0,386.0,114.0,180.0,487.0,494.0,226.66666666666666,351.5,141.8778817622163,0
MAT000004,PACK,2024-10-01,101,13203.990000000002,2,10,4,2024,1,0,258.0,386.0,114.0,191.0,1518.0,252.66666666666666,313.3333333333333,136.07840876984645,0
MAT000004,PACK,2024-12-01,163,16459.74,1,12,4,2024,1,0,101.0,258.0,386.0,751.0,995.0,248.33333333333334,298.3333333333333,142.7456946227571,0
MAT000005,ELEC,2022-04-01,550,89464.06,4,4,2,2022,0,0,753.0,826.0,18.0,806.0,54.0,532.3333333333334,659.5,446.9187099835197,3
MAT000005,ELEC,2022-05-01,356,140277.6,5,5,2,2022,0,0,550.0,753.0,826.0,1074.0,39.0,709.6666666666666,616.8333333333334,143.01165453673133,3
MAT000005,ELEC,2022-06-01,322,97066.45,5,6,2,2022,0,1,356.0,550.0,753.0,480.0,139.0,553.0,497.1666666666667,198.51700179077875,3
MAT000005,ELEC,2022-07-01,169,34301.24,3,7,3,2022,0,1,322.0,356.0,550.0,18.0,339.0,409.3333333333333,470.8333333333333,123.00135500608675,3
MAT000005,ELEC,2022-08-01,457,121963.69,5,8,3,2022,0,1,169.0,322.0,356.0,826.0,148.0,282.3333333333333,496.0,99.6109097103996,3
MAT000005,ELEC,2022-09-01,666,121418.24,7,9,3,2022,0,0,457.0,169.0,322.0,753.0,20.0,316.0,434.5,144.0937195022741,3
MAT000005,ELEC,2022-10-01,1210,350402.73,9,10,4,2022,1,0,666.0,457.0,169.0,550.0,806.0,430.6666666666667,420.0,249.54425125282563,3
MAT000005,ELEC,2022-11-01,622,124734.23999999999,6,11,4,2022,1,0,1210.0,666.0,457.0,356.0,1074.0,777.6666666666666,530.0,388.7214083805179,3
MAT000005,ELEC,2022-12-01,757,239898.89,6,12,4,2022,1,0,622.0,1210.0,666.0,322.0,480.0,832.6666666666666,574.3333333333334,327.5199739456105,3
MAT000005,ELEC,2023-01-01,952,213269.05000000002,9,1,1,2023,0,0,757.0,622.0,1210.0,169.0,18.0,863.0,646.8333333333334,307.9983766190985,3
MAT000005,ELEC,2023-02-01,678,202865.65,6,2,1,2023,0,0,952.0,757.0,622.0,457.0,826.0,777.0,777.3333333333334,165.9066002303707,3
MAT000005,ELEC,2023-03-01,1779,500147.16,14,3,1,2023,0,0,678.0,952.0,757.0,666.0,753.0,795.6666666666666,814.1666666666666,141.03309304320518,3
MAT000005,ELEC,2023-04-01,1051,287997.54,10,4,2,2023,0,0,1779.0,678.0,952.0,1210.0,550.0,1136.3333333333333,999.6666666666666,573.1791459337416,3
MAT000005,ELEC,2023-05-01,1271,313131.69,12,5,2,2023,0,0,1051.0,1779.0,678.0,622.0,356.0,1169.3333333333333,973.1666666666666,559.9574388588238,3
MAT000005,ELEC,2023-06-01,442,56429.21,6,6,2,2023,0,1,1271.0,1051.0,1779.0,757.0,322.0,1367.0,1081.3333333333333,373.3738073298663,3
MAT000005,ELEC,2023-07-01,1087,285547.94,13,7,3,2023,0,1,442.0,1271.0,1051.0,952.0,169.0,921.3333333333334,1028.8333333333333,429.4418858627247,3
MAT000005,ELEC,2023-08-01,626,167942.03999999998,6,8,3,2023,0,1,1087.0,442.0,1271.0,678.0,457.0,933.3333333333334,1051.3333333333333,435.3393312501564,3
MAT000005,ELEC,2023-09-01,2326,680114.23,18,9,3,2023,0,0,626.0,1087.0,442.0,1779.0,666.0,718.3333333333334,1042.6666666666667,332.2654561240657,3
MAT000005,ELEC,2023-10-01,713,143238.32,6,10,4,2023,1,0,2326.0,626.0,1087.0,1051.0,1210.0,1346.3333333333333,1133.8333333333333,879.1702527572993,3
MAT000005,ELEC,2023-11-01,932,198463.49000000002,6,11,4,2023,1,0,713.0,2326.0,626.0,1271.0,622.0,1221.6666666666667,1077.5,957.3694863182832,3
MAT000005,ELEC,2023-12-01,869,226007.97,6,12,4,2023,1,0,932.0,713.0,2326.0,442.0,757.0,1323.6666666666667,1021.0,874.9253301472837,3
MAT000005,ELEC,2024-01-01,1318,438051.61,13,1,1,2024,0,0,869.0,932.0,713.0,1087.0,952.0,838.0,1092.1666666666667,112.74307074051261,3
MAT000005,ELEC,2024-02-01,856,185761.21,8,2,1,2024,0,0,1318.0,869.0,932.0,626.0,678.0,1039.6666666666667,1130.6666666666667,243.0932605674898,3
MAT000005,ELEC,2024-03-01,220,73041.34,2,3,1,2024,0,0,856.0,1318.0,869.0,2326.0,1779.0,1014.3333333333334,1169.0,263.0633637231408,3
MAT000005,ELEC,2024-04-01,48,6347.04,1,4,2,2024,0,0,220.0,856.0,1318.0,713.0,1051.0,798.0,818.0,551.2930255317948,3
MAT000005,ELEC,2024-05-01,54,23806.510000000002,2,5,2,2024,0,0,48.0,220.0,856.0,932.0,1271.0,374.6666666666667,707.1666666666666,425.6258137535052,3
MAT000005,ELEC,2024-06-01,203,45809.880000000005,3,6,2,2024,0,1,54.0,48.0,220.0,869.0,442.0,107.33333333333333,560.8333333333334,97.61830429449938,3
MAT000005,ELEC,2024-07-01,319,37011.45,3,7,3,2024,0,1,203.0,54.0,48.0,1318.0,1087.0,101.66666666666667,449.8333333333333,87.80850376434776,3
MAT000005,ELEC,2024-08-01,294,61653.369999999995,3,8,3,2024,0,1,319.0,203.0,54.0,856.0,626.0,192.0,283.3333333333333,132.842011427109,3
MAT000005,ELEC,2024-09-01,262,91445.02,4,9,3,2024,0,0,294.0,319.0,203.0,220.0,2326.0,272.0,189.66666666666666,61.04916051839011,3
MAT000005,ELEC,2024-10-01,15,5966.4,1,10,4,2024,1,0,262.0,294.0,319.0,48.0,713.0,291.6666666666667,196.66666666666666,28.57154761880249,3
MAT000006,MECH,2022-04-01,927,158845.67,8,4,2,2022,0,0,683.0,87.0,260.0,277.0,130.0,343.3333333333333,364.5,306.61430712433065,2
MAT000006,MECH,2022-05-01,1326,386124.14,14,5,2,2022,0,0,927.0,683.0,87.0,502.0,192.0,565.6666666666666,472.8333333333333,432.1172680341915,2
MAT000006,MECH,2022-06-01,558,176443.07,5,6,2,2022,0,1,1326.0,927.0,683.0,378.0,118.0,978.6666666666666,610.1666666666666,324.5987266354155,2
MAT000006,MECH,2022-07-01,483,144057.81,5,7,3,2022,0,1,558.0,1326.0,927.0,260.0,100.0,937.0,640.1666666666666,384.0976438355225,2
MAT000006,MECH,2022-08-01,1073,242190.81,11,8,3,2022,0,1,483.0,558.0,1326.0,87.0,90.0,789.0,677.3333333333334,466.5651079967295,2
MAT000006,MECH,2022-09-01,888,190679.52,6,9,3,2022,0,0,1073.0,483.0,558.0,683.0,579.0,704.6666666666666,841.6666666666666,321.1827102029828,2
MAT000006,MECH,2022-10-01,1339,458908.9,8,10,4,2022,1,0,888.0,1073.0,483.0,927.0,277.0,814.6666666666666,875.8333333333334,301.7587336488096,2
