VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART,WAERK
OR00000051,2024-07-22,RE,C000060,3000,10,01,GBP
OR00000052,2023-10-20,OR,C000065,1000,30,01,EUR
OR00000053,2024-05-17,ZOR,C000072,2000,30,02,GBP
OR00000054,2024-03-06,ZOR,C000040,3000,20,00,GBP
OR00000055,2023-05-25,ZOR,C000028,1000,10,00,USD
OR00000056,2024-04-16,OR,C000044,3000,20,00,USD
OR00000057,2021-12-03,OR,C000030,2000,20,00,EUR
OR00000058,2022-05-16,ZOR,C000066,1000,10,01,EUR
OR00000059,2021-08-29,OR,C000011,1000,20,00,GBP
OR00000060,2022-10-08,RE,C000071,2000,10,01,USD
OR00000061,2022-12-07,OR,C000038,3000,20,00,GBP
OR00000062,2022-08-13,OR,C000075,1000,20,02,EUR
OR00000063,2023-12-14,ZOR,C000006,3000,20,02,EUR
OR00000064,2022-11-07,RE,C000024,2000,20,02,EUR
OR00000065,2022-08-23,ZOR,C000070,1000,10,01,GBP
OR00000066,2023-04-14,ZOR,C000010,3000,30,02,USD
OR00000067,2022-03-01,RE,C000009,2000,20,01,GBP
OR00000068,2023-11-16,RE,C000057,1000,30,01,EUR
OR00000069,2021-11-05,OR,C000026,1000,20,00,GBP
OR00000070,2024-09-16,ZOR,C000071,2000,30,00,GBP
OR00000071,2023-10-17,ZOR,C000068,3000,10,00,EUR
OR00000072,2022-05-20,RE,C000017,1000,10,02,USD
OR00000073,2021-03-26,RE,C000065,3000,10,00,GBP
OR00000074,2023-11-30,RE,C000062,2000,20,01,USD
OR00000075,2023-08-19,ZOR,C000078,3000,20,02,EUR
OR00000076,2023-09-07,RE,C000021,2000,20,01,EUR
OR00000077,2023-10-16,OR,C000075,1000,20,01,GBP
OR00000078,2021-11-04,OR,C000080,1000,10,01,EUR
OR00000079,2022-11-09,ZOR,C000042,1000,20,02,GBP
OR00000080,2022-01-20,ZOR,C000077,3000,30,02,USD
OR00000081,2024-01-24,OR,C000019,3000,30,00,USD
OR00000082,2023-06-13,RE,C000053,2000,30,02,USD
OR00000083,2022-10-13,RE,C000070,3000,30,02,GBP
OR00000084,2021-10-13,RE,C000037,3000,30,01,EUR
OR00000085,2022-09-23,RE,C000018,3000,30,00,USD
OR00000086,2022-10-07,OR,C000043,3000,10,00,GBP
OR00000087,2023-09-07,RE,C000074,3000,30,00,USD
OR00000088,2023-06-24,OR,C000015,3000,20,02,EUR
OR00000089,2024-02-24,OR,C000066,2000,30,00,USD
OR00000090,2023-02-17,RE,C000034,1000,10,02,USD
OR00000091,2022-01-27,OR,C000032,3000,20,02,GBP
OR00000092,2023-08-24,ZOR,C000012,1000,20,00,GBP
OR00000093,2023-10-06,ZOR,C000061,2000,10,00,GBP
OR00000094,2023-04-28,OR,C000069,1000,20,01,USD
OR00000095,2023-10-16,ZOR,C000032,2000,10,02,USD
OR00000096,2023-03-06,RE,C000074,2000,10,01,USD
OR00000097,2023-03-29,RE,C000045,2000,30,01,EUR
OR00000098,2023-01-10,ZOR,C000008,2000,30,02,USD
OR00000099,2021-06-30,ZOR,C000062,2000,10,00,USD
OR00000100,2022-01-07,ZOR,C000031,2000,20,01,GBP
OR00000101,2021-07-20,ZOR,C000019,3000,30,02,GBP
OR00000102,2023-06-23,ZOR,C000018,1000,30,02,USD
OR00000103,2022-09-27,RE,C000030,1000,10,00,GBP
OR00000104,2023-03-18,RE,C000031,3000,20,01,EUR
OR00000105,2024-03-25,RE,C000064,2000,30,00,GBP
OR00000106,2022-07-19,OR,C000035,3000,20,02,GBP
OR00000107,2022-12-26,ZOR,C000051,1000,30,00,GBP
OR00000108,2023-10-01,ZOR,C000063,3000,20,01,USD
OR00000109,2022-06-25,ZOR,C000012,2000,30,02,GBP
OR00000110,2021-11-10,ZOR,C000018,2000,20,00,USD
OR00000111,2022-09-01,OR,C000077,2000,10,00,EUR
OR00000112,2022-03-31,ZOR,C000057,3000,30,00,EUR
OR00000113,2024-04-30,RE,C000047,1000,30,02,USD
OR00000114,2023-11-22,OR,C000053,3000,20,00,EUR
OR00000115,2023-06-20,ZOR,C000070,3000,30,02,GBP
OR00000116,2024-02-03,RE,C000079,3000,30,02,EUR
OR00000117,2023-11-17,OR,C000054,3000,10,01,EUR
OR00000118,2022-05-04,OR,C000032,3000,10,01,GBP
OR00000119,2024-03-03,ZOR,C000069,2000,10,01,USD
OR00000120,2023-04-11,OR,C000018,1000,20,00,USD
OR00000121,2023-11-21,RE,C000041,1000,20,00,EUR
OR00000122,2024-03-08,OR,C000011,1000,20,00,EUR
OR00000123,2022-09-30,RE,C000070,1000,30,01,GBP
OR00000124,2022-01-11,OR,C000057,1000,30,02,GBP
OR00000125,2022-06-24,OR,C000066,2000,10,01,GBP
OR00000126,2023-01-10,OR,C000049,3000,10,01,GBP
OR00000127,2023-12-03,ZOR,C000028,2000,20,01,GBP
OR00000128,2024-01-21,ZOR,C000016,2000,10,01,USD
OR00000129,2021-04-05,RE,C000051,3000,10,01,GBP
OR00000130,2023-03-20,OR,C000067,1000,30,01,USD
OR00000131,2023-01-01,RE,C000057,1000,30,02,USD
OR00000132,2022-06-17,RE,C000027,3000,10,02,EUR
OR00000133,2022-01-27,RE,C000047,1000,20,00,USD
OR00000134,2022-10-20,RE,C000065,3000,30,01,EUR
OR00000135,2024-05-24,RE,C000059,1000,20,02,GBP
OR00000136,2022-10-05,OR,C000022,3000,20,02,USD
OR00000137,2023-03-26,RE,C000064,2000,10,01,GBP
OR00000138,2023-08-15,ZOR,C000032,2000,20,00,USD
OR00000139,2022-11-13,RE,C000032,2000,20,00,GBP
OR00000140,2024-07-28,OR,C000002,2000,30,01,GBP
OR00000141,2024-07-05,ZOR,C000020,1000,10,02,EUR
OR00000142,2022-07-22,RE,C000014,1000,20,01,USD
OR00000143,2023-03-09,RE,C000075,1000,30,01,USD
OR00000144,2022-09-13,RE,C000041,3000,20,01,EUR
OR00000145,2022-08-27,ZOR,C000058,2000,10,00,USD
OR00000146,2021-08-06,OR,C000072,1000,20,00,USD
OR00000147,2023-06-03,ZOR,C000026,3000,30,02,USD
OR00000148,2023-03-13,RE,C000004,2000,10,01,USD
OR00000149,2021-09-14,ZOR,C000008,2000,10,01,USD
OR00000150,2022-08-20,OR,C000035,2000,30,00,USD
OR00000151,2024-03-26,OR,C000046,1000,30,01,GBP
OR00000152,2022-07-08,OR,C000068,2000,30,00,USD
OR00000153,2022-03-07,ZOR,C000076,2000,20,00,USD
OR00000154,2023-03-03,OR,C000073,3000,20,02,USD
OR00000155,2024-09-11,RE,C000041,1000,30,02,GBP
OR00000156,2022-07-11,ZOR,C000064,3000,20,00,EUR
OR00000157,2023-07-21,OR,C000022,3000,10,02,USD
OR00000158,2023-10-07,OR,C000037,1000,10,01,GBP
OR00000159,2022-07-06,OR,C000070,2000,20,01,USD
OR00000160,2023-09-06,RE,C000069,1000,20,01,USD
OR00000161,2022-11-17,ZOR,C000077,3000,10,00,EUR
OR00000162,2023-06-20,RE,C000050,3000,20,00,USD
OR00000163,2023-06-21,ZOR,C000040,3000,30,00,USD
OR00000164,2023-04-08,RE,C000053,2000,10,02,USD
OR00000165,2021-12-06,OR,C000023,1000,10,00,EUR
OR00000166,2023-12-22,RE,C000065,1000,30,00,USD
OR00000167,2022-10-03,RE,C000029,1000,20,02,EUR
OR00000168,2022-05-04,RE,C000029,2000,30,02,GBP
OR00000169,2021-08-17,OR,C000014,2000,20,02,EUR
OR00000170,2023-05-20,ZOR,C000034,2000,30,00,GBP
OR00000171,2023-07-25,ZOR,C000038,1000,30,01,GBP
OR00000172,2021-05-26,ZOR,C000075,1000,20,00,GBP
OR00000173,2023-03-21,ZOR,C000068,1000,10,00,USD
OR00000174,2022-06-23,OR,C000022,2000,10,00,GBP
OR00000175,2023-06-29,RE,C000014,3000,20,00,USD
OR00000176,2022-04-18,ZOR,C000056,2000,20,00,USD
OR00000177,2023-08-05,ZOR,C000007,2000,20,00,GBP
OR00000178,2022-12-05,OR,C000037,2000,10,02,USD
OR00000179,2024-05-12,OR,C000074,1000,30,00,GBP
OR00000180,2022-02-24,OR,C000034,1000,10,00,EUR
OR00000181,2022-10-23,OR,C000048,1000,20,01,EUR
OR00000182,2022-01-16,ZOR,C000024,2000,30,00,GBP
OR00000183,2024-04-21,RE,C000044,3000,30,02,USD
OR00000184,2024-02-11,RE,C000065,3000,20,01,USD
OR00000185,2022-07-29,OR,C000058,2000,30,02,USD
OR00000186,2023-07-11,RE,C000078,2000,30,02,USD
OR00000187,2023-12-02,ZOR,C000071,3000,10,00,USD
OR00000188,2023-04-23,RE,C000064,3000,10,02,EUR
OR00000189,2023-04-04,RE,C000071,3000,30,02,USD
OR00000190,2022-07-11,RE,C000015,2000,30,02,GBP
OR00000191,2021-12-12,OR,C000046,3000,30,02,GBP
OR00000192,2024-03-09,RE,C000054,1000,10,02,EUR
OR00000193,2024-03-14,ZOR,C000025,1000,30,00,USD
OR00000194,2023-06-20,RE,C000043,1000,10,00,EUR
OR00000195,2022-10-21,RE,C000010,1000,10,02,USD
OR00000196,2022-10-31,ZOR,C000080,3000,30,00,USD
OR00000197,2023-09-04,ZOR,C000066,2000,10,01,GBP
OR00000198,2024-03-09,OR,C000055,3000,30,02,EUR
OR00000199,2024-02-24,OR,C000010,2000,30,00,GBP
OR00000200,2023-10-24,RE,C000080,3000,10,02,USD
OR00000201,2023-06-27,RE,C000070,1000,20,02,GBP
OR00000202,2021-11-25,OR,C000053,1000,10,00,GBP
OR00000203,2022-03-31,OR,C000043,3000,30,00,USD
OR00000204,2024-03-11,RE,C000032,3000,30,01,EUR
OR00000205,2023-05-31,RE,C000034,1000,10,02,GBP
OR00000206,2021-04-19,RE,C000071,3000,20,02,USD
OR00000207,2021-12-27,OR,C000058,3000,30,02,USD
OR00000208,2023-07-14,RE,C000034,3000,10,01,GBP
OR00000209,2021-03-22,OR,C000028,1000,20,02,GBP
OR00000210,2022-03-30,OR,C000062,3000,10,02,EUR
OR00000211,2023-04-18,RE,C000066,1000,10,00,EUR
OR00000212,2023-08-06,OR,C000062,2000,30,00,GBP
OR00000213,2023-07-05,OR,C000017,1000,30,02,GBP
OR00000214,2022-06-20,ZOR,C000030,2000,30,02,GBP
OR00000215,2023-08-23,RE,C000037,2000,20,00,USD
OR00000216,2022-07-05,ZOR,C000041,1000,10,01,GBP
OR00000217,2022-10-08,ZOR,C000040,3000,20,02,USD
OR00000218,2023-09-23,ZOR,C000028,2000,30,02,GBP
OR00000219,2023-07-03,RE,C000019,2000,10,00,EUR
OR00000220,2024-01-07,ZOR,C000023,1000,10,02,GBP
OR00000221,2023-07-09,ZOR,C000046,3000,10,02,USD
OR00000222,2023-05-03,OR,C000045,3000,10,01,EUR
OR00000223,2021-12-13,ZOR,C000065,1000,30,01,GBP
OR00000224,2022-11-17,ZOR,C000030,2000,30,02,USD
OR00000225,2022-08-06,OR,C000064,3000,10,01,USD
OR00000226,2022-07-13,ZOR,C000070,2000,30,01,EUR
OR00000227,2024-08-01,RE,C000059,3000,20,01,GBP
OR00000228,2022-12-11,ZOR,C000047,1000,30,01,USD
OR00000229,2024-03-02,OR,C000013,3000,20,01,USD
OR00000230,2023-06-19,RE,C000051,1000,10,00,EUR
OR00000231,2023-11-08,ZOR,C000058,3000,20,01,GBP
OR00000232,2023-03-13,RE,C000038,3000,20,01,EUR
OR00000233,2023-05-09,OR,C000061,1000,20,02,USD
OR00000234,2023-03-05,OR,C000040,3000,20,01,GBP
OR00000235,2022-05-15,OR,C000071,3000,30,00,GBP
OR00000236,2023-09-01,OR,C000062,2000,20,02,USD
OR00000237,2022-08-23,OR,C000051,3000,30,02,EUR
OR00000238,2021-06-26,ZOR,C000035,1000,20,00,USD
OR00000239,2023-06-30,RE,C000017,1000,10,00,USD
OR00000240,2022-04-21,RE,C000048,1000,20,00,USD
OR00000241,2024-05-19,ZOR,C000025,1000,10,02,USD
OR00000242,2024-06-15,OR,C000007,1000,30,01,EUR
OR00000243,2024-04-05,RE,C000002,3000,20,02,GBP
OR00000244,2022-11-20,OR,C000069,2000,10,01,GBP
OR00000245,2021-05-21,ZOR,C000070,3000,20,01,GBP
OR00000246,2024-04-27,RE,C000024,2000,30,00,EUR
OR00000247,2023-01-11,ZOR,C000079,2000,30,01,USD
OR00000248,2024-07-15,OR,C000023,1000,20,00,USD
OR00000249,2024-07-07,OR,C000007,3000,30,00,USD
OR00000250,2024-01-11,RE,C000068,1000,20,00,USD
OR00000251,2022-09-06,RE,C000068,3000,10,02,GBP
OR00000252,2022-12-03,RE,C000053,2000,30,00,GBP
OR00000253,2024-01-09,RE,C000077,1000,20,00,EUR
OR00000254,2022-09-29,ZOR,C000013,2000,10,00,EUR
OR00000255,2022-04-11,OR,C000077,3000,30,01,USD
OR00000256,2023-04-24,OR,C000030,3000,30,01,USD
OR00000257,2024-05-11,ZOR,C000029,2000,10,00,EUR
OR00000258,2023-08-09,RE,C000011,2000,30,00,USD
OR00000259,2023-05-04,ZOR,C000077,1000,20,02,EUR
OR00000260,2021-12-19,ZOR,C000037,3000,10,01,EUR
OR00000261,2023-06-07,RE,C000007,1000,10,01,GBP
OR00000262,2024-09-29,ZOR,C000026,3000,30,00,USD
OR00000263,2022-02-28,ZOR,C000031,1000,30,01,EUR
OR00000264,2023-03-26,RE,C000018,2000,30,02,GBP
OR00000265,2024-02-11,RE,C000075,1000,10,01,GBP
OR00000266,2023-09-17,OR,C000024,3000,10,01,EUR
OR00000267,2023-08-10,ZOR,C000048,2000,20,00,USD
OR00000268,2023-08-15,OR,C000027,2000,30,01,GBP
OR00000269,2022-11-10,RE,C000032,2000,30,00,GBP
OR00000270,2022-09-05,ZOR,C000051,2000,10,00,EUR
OR00000271,2023-11-23,RE,C000047,3000,20,02,GBP
OR00000272,2023-11-24,RE,C000019,1000,20,01,EUR
OR00000273,2024-01-29,ZOR,C000032,3000,30,02,USD
OR00000274,2024-04-03,RE,C000005,2000,20,00,USD
OR00000275,2023-03-20,ZOR,C000059,1000,10,01,EUR
OR00000276,2023-03-12,RE,C000014,3000,30,00,EUR
OR00000277,2023-11-12,OR,C000038,1000,10,01,GBP
OR00000278,2023-07-03,RE,C000045,1000,10,02,USD
OR00000279,2023-08-14,RE,C000061,1000,20,00,GBP
OR00000280,2023-11-09,ZOR,C000074,1000,30,00,EUR
OR00000281,2024-02-28,OR,C000057,2000,30,00,USD
OR00000282,2022-10-20,OR,C000001,3000,30,00,EUR
OR00000283,2022-11-25,ZOR,C000027,3000,20,01,USD
OR00000284,2021-12-13,RE,C000023,3000,30,02,EUR
OR00000285,2023-05-10,OR,C000061,1000,30,01,EUR
OR00000286,2021-08-03,ZOR,C000039,2000,30,01,USD
OR00000287,2023-02-11,RE,C000023,3000,30,01,USD
OR00000288,2023-04-14,ZOR,C000019,3000,20,01,GBP
OR00000289,2022-08-29,ZOR,C000001,1000,20,00,USD
OR00000290,2023-05-20,OR,C000063,1000,10,02,EUR
OR00000291,2021-07-17,ZOR,C000005,3000,20,00,GBP
OR00000292,2021-08-07,RE,C000061,2000,30,02,EUR
OR00000293,2023-12-08,OR,C000036,3000,20,01,EUR
OR00000294,2022-11-10,OR,C000058,2000,30,00,EUR
OR00000295,2022-02-08,RE,C000031,3000,10,00,GBP
OR00000296,2023-03-29,ZOR,C000019,1000,20,01,EUR
OR00000297,2023-10-15,RE,C000060,3000,30,00,GBP
OR00000298,2022-06-10,RE,C000005,1000,10,02,GBP
OR00000299,2023-06-12,ZOR,C000015,2000,20,02,USD
OR00000300,2021-11-27,ZOR,C000019,1000,30,02,USD
OR00000301,2021-09-15,ZOR,C000062,3000,10,02,USD
OR00000302,2023-04-05,ZOR,C000043,1000,30,02,USD
OR00000303,2023-04-12,RE,C000063,2000,30,00,USD
OR00000304,2023-06-23,RE,C000050,3000,20,01,GBP
OR00000305,2023-09-04,OR,C000061,1000,30,02,USD
OR00000306,2024-08-09,OR,C000059,3000,10,00,USD
OR00000307,2023-03-24,OR,C000019,3000,20,02,USD
OR00000308,2022-10-05,OR,C000017,3000,20,02,EUR
OR00000309,2023-11-09,ZOR,C000060,1000,10,00,USD
OR00000310,2022-08-12,RE,C000010,2000,30,02,EUR
OR00000311,2023-01-20,ZOR,C000048,3000,10,02,EUR
OR00000312,2021-11-13,RE,C000079,3000,10,00,EUR
OR00000313,2021-06-30,ZOR,C000055,2000,30,00,EUR
OR00000314,2024-07-05,RE,C000060,2000,10,01,GBP
OR00000315,2023-12-23,ZOR,C000015,2000,30,00,EUR
OR00000316,2023-08-09,RE,C000035,2000,20,00,USD
OR00000317,2022-12-25,ZOR,C000051,1000,10,00,EUR
OR00000318,2022-04-16,RE,C000038,3000,10,01,EUR
OR00000319,2022-03-24,OR,C000022,2000,20,01,USD
OR00000320,2022-07-20,OR,C000020,1000,10,01,GBP
OR00000321,2023-04-19,OR,C000058,3000,20,00,USD
OR00000322,2023-08-25,OR,C000015,1000,30,02,USD
OR00000323,2023-07-11,ZOR,C000012,1000,20,01,GBP
OR00000324,2022-08-22,OR,C000050,2000,20,01,EUR
OR00000325,2024-06-17,ZOR,C000009,1000,10,01,GBP
OR00000326,2023-09-15,RE,C000064,2000,10,00,USD
OR00000327,2023-04-23,ZOR,C000004,2000,10,02,GBP
OR00000328,2023-06-04,ZOR,C000060,1000,10,01,EUR
OR00000329,2023-01-03,ZOR,C000069,1000,10,00,GBP
OR00000330,2022-07-17,ZOR,C000003,2000,30,01,USD
OR00000331,2022-11-06,ZOR,C000003,1000,10,00,USD
OR00000332,2023-10-03,OR,C000002,3000,10,02,USD
OR00000333,2021-05-16,OR,C000065,1000,30,00,GBP
OR00000334,2022-01-21,OR,C000047,2000,30,00,USD
OR00000335,2021-08-31,ZOR,C000011,1000,20,01,EUR
OR00000336,2021-08-17,RE,C000051,3000,30,00,USD
OR00000337,2024-01-14,OR,C000077,1000,20,02,EUR
OR00000338,2023-08-16,OR,C000018,3000,10,00,EUR
OR00000339,2023-02-18,OR,C000080,1000,30,02,EUR
OR00000340,2021-12-20,ZOR,C000022,1000,20,02,EUR
OR00000341,2023-03-04,RE,C000047,3000,10,02,EUR
OR00000342,2023-02-18,RE,C000035,2000,30,00,EUR
OR00000343,2022-04-16,ZOR,C000069,2000,10,01,GBP
OR00000344,2023-01-15,OR,C000071,3000,30,02,USD
OR00000345,2022-12-15,ZOR,C000027,2000,30,00,EUR
OR00000346,2023-06-07,OR,C000005,2000,10,00,EUR
OR00000347,2023-06-22,OR,C000018,3000,30,02,USD
OR00000348,2021-08-29,ZOR,C000036,2000,30,00,EUR
OR00000349,2022-11-24,ZOR,C000007,3000,20,01,GBP
OR00000350,2023-06-15,OR,C000041,2000,10,01,EUR
OR00000351,2023-03-14,RE,C000052,2000,20,02,USD
OR00000352,2024-01-16,ZOR,C000077,2000,20,02,USD
OR00000353,2023-07-10,OR,C000012,2000,30,00,USD
OR00000354,2022-04-02,ZOR,C000037,1000,20,00,GBP
OR00000355,2021-10-28,RE,C000032,3000,30,01,USD
OR00000356,2023-06-27,RE,C000028,2000,30,02,EUR
OR00000357,2021-07-04,RE,C000061,3000,30,02,GBP
OR00000358,2023-05-16,RE,C000048,1000,30,00,EUR
OR00000359,2024-05-19,OR,C000041,2000,20,02,EUR
OR00000360,2023-05-08,ZOR,C000056,1000,20,01,GBP
OR00000361,2022-12-06,RE,C000032,1000,20,00,EUR
OR00000362,2023-06-28,OR,C000020,2000,30,02,EUR
OR00000363,2023-02-05,ZOR,C000012,1000,10,01,USD
OR00000364,2023-04-16,ZOR,C000016,2000,30,01,GBP
OR00000365,2024-05-21,RE,C000055,1000,20,02,EUR
OR00000366,2022-12-04,RE,C000020,3000,30,02,USD
OR00000367,2024-07-02,ZOR,C000066,1000,20,02,GBP
OR00000368,2024-03-21,RE,C000076,2000,30,01,EUR
OR00000369,2022-05-16,RE,C000002,2000,20,02,EUR
OR00000370,2021-10-25,ZOR,C000012,1000,20,01,USD
OR00000371,2021-12-26,ZOR,C000061,3000,10,00,EUR
OR00000372,2021-06-02,RE,C000074,1000,20,02,EUR
OR00000373,2021-12-14,RE,C000017,3000,20,01,GBP
OR00000374,2023-07-30,OR,C000039,3000,10,00,EUR
OR00000375,2021-10-29,ZOR,C000006,1000,30,02,GBP
OR00000376,2022-10-01,RE,C000014,1000,30,00,GBP
OR00000377,2024-01-02,RE,C000021,2000,30,01,GBP
OR00000378,2021-06-22,ZOR,C000026,1000,10,01,EUR
OR00000379,2023-11-29,RE,C000059,2000,10,01,USD
OR00000380,2022-08-24,ZOR,C000056,1000,30,02,USD
OR00000381,2022-01-24,OR,C000041,2000,30,02,USD
OR00000382,2023-08-10,ZOR,C000066,3000,20,02,USD
OR00000383,2023-06-17,OR,C000055,3000,10,01,EUR
OR00000384,2024-02-11,RE,C000049,1000,10,01,GBP
OR00000385,2023-09-12,ZOR,C000061,1000,20,02,GBP
OR00000386,2023-11-17,ZOR,C000028,1000,30,00,GBP
OR00000387,2022-08-24,ZOR,C000019,1000,20,01,USD
OR00000388,2022-04-22,ZOR,C000044,3000,30,00,USD
OR00000389,2023-09-26,RE,C000072,3000,10,00,GBP
OR00000390,2023-11-21,OR,C000016,1000,20,00,USD
OR00000391,2024-10-02,ZOR,C000012,2000,30,00,USD
OR00000392,2022-12-28,RE,C000064,2000,10,01,USD
OR00000393,2022-11-21,ZOR,C000039,2000,10,02,GBP
OR00000394,2023-10-21,RE,C000080,1000,10,00,EUR
OR00000395,2022-10-23,ZOR,C000072,1000,30,02,EUR
OR00000396,2024-05-02,ZOR,C000002,3000,30,02,EUR
OR00000397,2024-01-18,OR,C000046,3000,30,01,GBP
OR00000398,2023-01-11,RE,C000015,3000,20,00,GBP
OR00000399,2023-09-27,OR,C000067,3000,10,02,GBP
OR00000400,2023-09-30,RE,C000067,1000,10,01,EUR
OR00000401,2021-12-30,RE,C000004,2000,20,00,USD
OR00000402,2024-03-17,OR,C000008,2000,30,02,EUR
OR00000403,2023-03-15,RE,C000052,2000,10,02,GBP
OR00000404,2023-12-12,ZOR,C000044,3000,20,02,USD
OR00000405,2022-10-02,RE,C000074,3000,20,01,EUR
OR00000406,2024-03-07,RE,C000048,3000,30,02,USD
OR00000407,2022-12-07,OR,C000055,1000,30,00,USD
OR00000408,2021-04-28,RE,C000029,1000,30,00,EUR
OR00000409,2024-03-21,OR,C000047,2000,10,02,USD
OR00000410,2021-12-08,ZOR,C000023,3000,10,01,GBP
OR00000411,2022-10-02,ZOR,C000044,2000,10,01,EUR
OR00000412,2024-06-07,RE,C000048,2000,30,00,USD
OR00000413,2024-06-08,ZOR,C000027,3000,30,00,USD
OR00000414,2023-05-07,ZOR,C000051,2000,20,02,USD
OR00000415,2023-06-19,ZOR,C000064,2000,10,00,EUR
OR00000416,2023-01-28,RE,C000047,1000,20,00,GBP
OR00000417,2022-09-05,OR,C000061,2000,10,00,GBP
OR00000418,2022-10-11,ZOR,C000041,3000,20,00,EUR
OR00000419,2023-07-21,RE,C000076,1000,10,00,EUR
OR00000420,2023-09-28,OR,C000024,2000,20,00,USD
OR00000421,2023-11-05,OR,C000027,2000,20,02,GBP
OR00000422,2023-11-03,RE,C000059,1000,30,00,EUR
OR00000423,2021-12-08,ZOR,C000028,3000,10,01,USD
OR00000424,2023-03-07,RE,C000033,1000,20,00,USD
OR00000425,2021-09-29,RE,C000022,1000,10,01,USD
OR00000426,2023-04-19,OR,C000007,1000,20,00,USD
OR00000427,2023-01-22,OR,C000009,3000,10,02,USD
OR00000428,2024-02-25,RE,C000080,2000,20,00,USD
OR00000429,2022-11-01,ZOR,C000036,1000,10,00,EUR
OR00000430,2022-01-22,RE,C000043,3000,20,02,EUR
OR00000431,2022-03-04,RE,C000066,3000,30,00,USD
OR00000432,2023-10-07,OR,C000032,1000,10,01,EUR
OR00000433,2023-06-09,OR,C000037,3000,20,01,USD
OR00000434,2021-12-26,OR,C000057,2000,10,00,USD
OR00000435,2021-11-24,RE,C000040,1000,10,01,USD
OR00000436,2023-08-14,ZOR,C000049,2000,20,02,GBP
OR00000437,2021-11-02,OR,C000018,1000,10,00,USD
OR00000438,2023-12-07,ZOR,C000025,3000,20,02,GBP
OR00000439,2023-08-18,OR,C000002,3000,30,01,EUR
OR00000440,2021-11-19,RE,C000033,3000,30,01,GBP
OR00000441,2021-11-26,OR,C000001,3000,20,02,EUR
OR00000442,2024-09-15,ZOR,C000034,3000,30,00,GBP
OR00000443,2022-11-23,ZOR,C000002,1000,30,02,USD
OR00000444,2022-11-20,ZOR,C000063,3000,20,01,EUR
