VBELN,POSNR,MATNR,MATKL,WERKS,KWMENG,NETPR,NETWR,ERDAT,LGORT
OR00000026,000040,MAT000027,PACK,P002,144,256.33,36911.52,2023-10-30,L001
OR00000027,000010,MAT000035,MECH,P003,156,191.72,29908.32,2022-05-21,L003
OR00000027,000020,MAT000031,MECH,P003,58,123.21,7146.18,2022-05-21,L004
OR00000027,000030,MAT000023,CHEM,P003,68,208.33,14166.44,2022-05-21,L003
OR00000027,000040,MAT000022,ELEC,P003,188,457.15,85944.2,2022-05-21,L004
OR00000028,000010,MAT000007,MECH,P002,94,76.36,7177.84,2023-03-22,L002
OR00000028,000020,MAT000029,CHEM,P002,19,484.76,9210.44,2023-03-22,L003
OR00000028,000030,MAT000034,CONS,P002,172,326.67,56187.24,2023-03-22,L003
OR00000029,000010,MAT000040,CHEM,P004,16,343.78,5500.48,2023-05-21,L003
OR00000030,000010,MAT000011,CHEM,P001,93,150.22,13970.46,2021-09-01,L003
OR00000030,000020,MAT000020,ELEC,P001,95,267.93,25453.35,2021-09-01,L002
OR00000030,000030,MAT000002,CONS,P001,38,306.7,11654.6,2021-09-01,L004
OR00000030,000040,MAT000003,MECH,P001,170,251.35,42729.5,2021-09-01,L002
OR00000031,000010,MAT000030,CONS,P004,59,83.2,4908.8,2023-06-01,L004
OR00000032,000010,MAT000020,ELEC,P005,25,288.1,7202.5,2022-04-13,L003
OR00000032,000020,MAT000013,CONS,P005,165,489.08,80698.2,2022-04-13,L004
OR00000032,000030,MAT000025,CONS,P005,57,433.21,24692.97,2022-04-13,L001
OR00000032,000040,MAT000031,MECH,P005,171,417.26,71351.46,2022-04-13,L003
OR00000033,000010,MAT000009,ELEC,P005,124,21.52,2668.48,2021-10-16,L003
OR00000033,000020,MAT000007,MECH,P005,224,455.27,101980.48,2021-10-16,L003
OR00000033,000030,MAT000003,MECH,P005,259,104.39,27037.01,2021-10-16,L003
OR00000034,000010,MAT000008,PACK,P005,30,116.68,3500.4,2024-06-05,L004
OR00000034,000020,MAT000030,CONS,P005,101,396.39,40035.39,2024-06-05,L001
OR00000034,000030,MAT000005,ELEC,P005,51,230.12,11736.12,2024-06-05,L003
OR00000035,000010,MAT000002,CONS,P004,104,36.29,3774.16,2024-07-12,L004
OR00000035,000020,MAT000040,CHEM,P004,124,207.11,25681.64,2024-07-12,L002
OR00000035,000030,MAT000036,CHEM,P004,10,155.66,1556.6,2024-07-12,L004
OR00000035,000040,MAT000021,ELEC,P004,18,444.19,7995.42,2024-07-12,L002
OR00000036,000010,MAT000038,PACK,P004,184,469.83,86448.72,2023-11-22,L003
OR00000036,000020,MAT000010,PACK,P004,13,112.55,1463.15,2023-11-22,L004
OR00000036,000030,MAT000027,PACK,P004,97,54.18,5255.46,2023-11-22,L003
OR00000036,000040,MAT000007,MECH,P004,227,324.19,73591.13,2023-11-22,L001
OR00000037,000010,MAT000039,CHEM,P003,14,125.57,1757.98,2022-09-17,L002
OR00000037,000020,MAT000002,CONS,P003,127,415.76,52801.52,2022-09-17,L002
OR00000038,000010,MAT000010,PACK,P002,101,59.41,6000.41,2021-12-20,L001
OR00000038,000020,MAT000009,ELEC,P002,38,396.04,15049.52,2021-12-20,L002
OR00000038,000030,MAT000035,MECH,P002,196,91.25,17885.0,2021-12-20,L001
OR00000039,000010,MAT000024,ELEC,P004,87,472.98,41149.26,2023-07-31,L001
OR00000039,000020,MAT000033,CHEM,P004,156,434.16,67728.96,2023-07-31,L003
OR00000039,000030,MAT000038,PACK,P004,93,20.42,1899.06,2023-07-31,L004
OR00000039,000040,MAT000007,MECH,P004,74,58.44,4324.56,2023-07-31,L004
OR00000040,000010,MAT000040,CHEM,P001,170,497.34,84547.8,2023-01-21,L003
OR00000040,000020,MAT000038,PACK,P001,117,217.95,25500.15,2023-01-21,L001
OR00000040,000030,MAT000036,CHEM,P001,178,385.64,68643.92,2023-01-21,L002
OR00000041,000010,MAT000007,MECH,P004,113,344.98,38982.74,2022-01-31,L004
OR00000041,000020,MAT000021,ELEC,P004,15,47.26,708.9,2022-01-31,L004
OR00000041,000030,MAT000028,PACK,P004,27,189.46,5115.42,2022-01-31,L002
OR00000041,000040,MAT000017,PACK,P004,117,478.53,55988.01,2022-01-31,L003
OR00000042,000010,MAT000039,CHEM,P004,27,110.31,2978.37,2023-03-07,L004
OR00000042,000020,MAT000020,ELEC,P004,66,178.31,11768.46,2023-03-07,L003
OR00000042,000030,MAT000023,CHEM,P004,33,289.18,9542.94,2023-03-07,L004
OR00000043,000010,MAT000002,CONS,P005,149,461.16,68712.84,2021-07-29,L003
OR00000043,000020,MAT000012,CONS,P005,1,75.91,75.91,2021-07-29,L004
OR00000043,000030,MAT000018,CHEM,P005,11,318.42,3502.62,2021-07-29,L001
OR00000044,000010,MAT000024,ELEC,P005,172,471.0,81012.0,2024-03-27,L001
OR00000044,000020,MAT000020,ELEC,P005,12,378.45,4541.4,2024-03-27,L001
OR00000045,000010,MAT000027,PACK,P003,21,59.89,1257.69,2022-07-30,L004
OR00000045,000020,MAT000018,CHEM,P003,108,27.48,2967.84,2022-07-30,L004
OR00000045,000030,MAT000014,PACK,P003,94,106.19,9981.86,2022-07-30,L002
OR00000045,000040,MAT000033,CHEM,P003,126,131.48,16566.48,2022-07-30,L003
OR00000046,000010,MAT000035,MECH,P001,144,40.68,5857.92,2023-07-13,L001
OR00000046,000020,MAT000015,ELEC,P001,67,460.98,30885.66,2023-07-13,L003
OR00000046,000030,MAT000033,CHEM,P001,107,205.19,21955.33,2023-07-13,L004
OR00000046,000040,MAT000036,CHEM,P001,47,15.32,720.04,2023-07-13,L003
OR00000047,000010,MAT000016,CONS,P005,115,264.36,30401.4,2022-09-24,L004
OR00000048,000010,MAT000034,CONS,P003,114,389.23,44372.22,2023-03-27,L003
OR00000049,000010,MAT000005,ELEC,P002,208,234.66,48809.28,2023-04-17,L004
OR00000049,000020,MAT000012,CONS,P002,204,284.42,58021.68,2023-04-17,L003
OR00000050,000010,MAT000018,CHEM,P002,91,158.65,14437.15,2022-05-02,L004
OR00000050,000020,MAT000038,PACK,P002,8,416.69,3333.52,2022-05-02,L001
OR00000050,000030,MAT000004,PACK,P002,190,428.37,81390.3,2022-05-02,L004
OR00000051,000010,MAT000021,ELEC,P005,91,479.07,43595.37,2024-07-22,L004
OR00000051,000020,MAT000039,CHEM,P005,22,419.5,9229.0,2024-07-22,L001
OR00000052,000010,MAT000024,ELEC,P002,134,172.49,23113.66,2023-10-20,L001
OR00000052,000020,MAT000019,CHEM,P002,240,37.63,9031.2,2023-10-20,L001
OR00000053,000010,MAT000022,ELEC,P004,159,458.79,72947.61,2024-05-17,L003
OR00000053,000020,MAT000006,MECH,P004,181,199.02,36022.62,2024-05-17,L001
OR00000054,000010,MAT000028,PACK,P005,123,184.49,22692.27,2024-03-06,L002
OR00000055,000010,MAT000019,CHEM,P003,26,272.19,7076.94,2023-05-25,L001
OR00000056,000010,MAT000040,CHEM,P005,180,208.38,37508.4,2024-04-16,L002
OR00000056,000020,MAT000011,CHEM,P005,119,377.43,44914.17,2024-04-16,L004
OR00000057,000010,MAT000030,CONS,P005,184,85.22,15680.48,2021-12-03,L002
OR00000057,000020,MAT000019,CHEM,P005,185,128.75,23818.75,2021-12-03,L004
OR00000057,000030,MAT000025,CONS,P005,137,55.78,7641.86,2021-12-03,L001
OR00000057,000040,MAT000033,CHEM,P005,85,84.35,7169.75,2021-12-03,L004
OR00000058,000010,MAT000027,PACK,P002,13,190.11,2471.43,2022-05-16,L004
OR00000059,000010,MAT000010,PACK,P003,86,238.87,20542.82,2021-08-29,L002
OR00000059,000020,MAT000009,ELEC,P003,211,227.06,47909.66,2021-08-29,L001
OR00000059,000030,MAT000003,MECH,P003,16,111.75,1788.0,2021-08-29,L002
OR00000060,000010,MAT000008,PACK,P005,159,313.29,49813.11,2022-10-08,L001
OR00000060,000020,MAT000004,PACK,P005,46,252.42,11611.32,2022-10-08,L001
OR00000060,000030,MAT000016,CONS,P005,228,124.76,28445.28,2022-10-08,L002
OR00000061,000010,MAT000012,CONS,P004,29,274.32,7955.28,2022-12-07,L001
OR00000061,000020,MAT000006,MECH,P004,160,26.55,4248.0,2022-12-07,L004
OR00000061,000030,MAT000034,CONS,P004,121,13.04,1577.84,2022-12-07,L001
OR00000061,000040,MAT000024,ELEC,P004,111,330.27,36659.97,2022-12-07,L001
OR00000062,000010,MAT000030,CONS,P003,141,71.75,10116.75,2022-08-13,L004
OR00000062,000020,MAT000031,MECH,P003,9,26.68,240.12,2022-08-13,L002
OR00000063,000010,MAT000003,MECH,P003,147,28.66,4213.02,2023-12-14,L003
OR00000063,000020,MAT000013,CONS,P003,83,187.17,15535.11,2023-12-14,L004
OR00000063,000030,MAT000019,CHEM,P003,260,478.46,124399.6,2023-12-14,L003
OR00000064,000010,MAT000028,PACK,P004,28,497.57,13931.96,2022-11-07,L002
OR00000065,000010,MAT000020,ELEC,P003,178,346.43,61664.54,2022-08-23,L003
OR00000065,000020,MAT000029,CHEM,P003,93,435.67,40517.31,2022-08-23,L003
OR00000065,000030,MAT000039,CHEM,P003,189,140.9,26630.1,2022-08-23,L001
OR00000066,000010,MAT000010,PACK,P004,167,221.9,37057.3,2023-04-14,L002
OR00000067,000010,MAT000039,CHEM,P002,42,474.67,19936.14,2022-03-01,L003
OR00000068,000010,MAT000018,CHEM,P001,10,252.03,2520.3,2023-11-16,L004
OR00000068,000020,MAT000016,CONS,P001,170,388.61,66063.7,2023-11-16,L004
OR00000068,000030,MAT000008,PACK,P001,92,146.36,13465.12,2023-11-16,L004
OR00000069,000010,MAT000006,MECH,P001,200,446.21,89242.0,2021-11-05,L002
OR00000069,000020,MAT000021,ELEC,P001,277,351.61,97395.97,2021-11-05,L002
OR00000069,000030,MAT000023,CHEM,P001,130,65.07,8459.1,2021-11-05,L002
OR00000069,000040,MAT000005,ELEC,P001,45,249.54,11229.3,2021-11-05,L003
OR00000070,000010,MAT000005,ELEC,P005,76,359.88,27350.88,2024-09-16,L004
OR00000071,000010,MAT000029,CHEM,P004,180,175.53,31595.4,2023-10-17,L002
OR00000072,000010,MAT000011,CHEM,P004,104,261.85,27232.4,2022-05-20,L003
OR00000072,000020,MAT000021,ELEC,P004,18,319.35,5748.3,2022-05-20,L003
OR00000072,000030,MAT000015,ELEC,P004,34,309.14,10510.76,2022-05-20,L001
OR00000073,000010,MAT000037,CHEM,P002,17,322.52,5482.84,2021-03-26,L003
OR00000073,000020,MAT000003,MECH,P002,147,288.21,42366.87,2021-03-26,L001
OR00000073,000030,MAT000002,CONS,P002,147,275.06,40433.82,2021-03-26,L003
OR00000074,000010,MAT000011,CHEM,P002,152,234.9,35704.8,2023-11-30,L003
OR00000075,000010,MAT000009,ELEC,P002,25,235.9,5897.5,2023-08-19,L003
OR00000075,000020,MAT000024,ELEC,P002,104,52.92,5503.68,2023-08-19,L003
OR00000075,000030,MAT000033,CHEM,P002,113,211.98,23953.74,2023-08-19,L002
OR00000075,000040,MAT000036,CHEM,P002,98,361.96,35472.08,2023-08-19,L002
OR00000076,000010,MAT000006,MECH,P004,101,483.51,48834.51,2023-09-07,L002
OR00000077,000010,MAT000019,CHEM,P003,132,135.91,17940.12,2023-10-16,L003
OR00000077,000020,MAT000035,MECH,P003,263,27.39,7203.57,2023-10-16,L001
OR00000077,000030,MAT000001,PACK,P003,209,184.45,38550.05,2023-10-16,L003
OR00000077,000040,MAT000007,MECH,P003,25,227.93,5698.25,2023-10-16,L003
OR00000078,000010,MAT000036,CHEM,P005,74,203.69,15073.06,2021-11-04,L001
OR00000078,000020,MAT000024,ELEC,P005,13,358.23,4656.99,2021-11-04,L004
OR00000078,000030,MAT000010,PACK,P005,182,305.1,55528.2,2021-11-04,L002
OR00000079,000010,MAT000038,PACK,P005,185,355.83,65828.55,2022-11-09,L003
OR00000079,000020,MAT000022,ELEC,P005,192,187.34,35969.28,2022-11-09,L001
OR00000079,000030,MAT000033,CHEM,P005,154,399.39,61506.06,2022-11-09,L001
OR00000080,000010,MAT000038,PACK,P004,106,316.37,33535.22,2022-01-20,L004
OR00000081,000010,MAT000029,CHEM,P002,78,209.42,16334.76,2024-01-24,L002
OR00000082,000010,MAT000034,CONS,P005,100,332.8,33280.0,2023-06-13,L004
OR00000082,000020,MAT000014,PACK,P005,71,232.53,16509.63,2023-06-13,L003
OR00000083,000010,MAT000040,CHEM,P003,81,152.76,12373.56,2022-10-13,L003
OR00000083,000020,MAT000031,MECH,P003,253,107.6,27222.8,2022-10-13,L004
OR00000083,000030,MAT000013,CONS,P003,113,282.44,31915.72,2022-10-13,L003
OR00000084,000010,MAT000010,PACK,P001,122,44.12,5382.64,2021-10-13,L004
OR00000084,000020,MAT000019,CHEM,P001,212,242.14,51333.68,2021-10-13,L002
OR00000084,000030,MAT000003,MECH,P001,175,283.2,49560.0,2021-10-13,L003
OR00000085,000010,MAT000034,CONS,P001,61,30.98,1889.78,2022-09-23,L004
OR00000086,000010,MAT000027,PACK,P004,182,379.18,69010.76,2022-10-07,L003
OR00000086,000020,MAT000031,MECH,P004,106,34.29,3634.74,2022-10-07,L001
OR00000087,000010,MAT000012,CONS,P002,56,481.26,26950.56,2023-09-07,L003
OR00000087,000020,MAT000003,MECH,P002,8,286.14,2289.12,2023-09-07,L001
OR00000087,000030,MAT000026,CHEM,P002,78,494.6,38578.8,2023-09-07,L004
OR00000087,000040,MAT000032,PACK,P002,39,236.67,9230.13,2023-09-07,L002
OR00000088,000010,MAT000001,PACK,P003,58,379.85,22031.3,2023-06-24,L002
OR00000088,000020,MAT000022,ELEC,P003,134,449.04,60171.36,2023-06-24,L004
OR00000089,000010,MAT000031,MECH,P003,51,194.87,9938.37,2024-02-24,L004
OR00000089,000020,MAT000021,ELEC,P003,175,168.16,29428.0,2024-02-24,L001
OR00000090,000010,MAT000020,ELEC,P003,200,346.69,69338.0,2023-02-17,L003
OR00000090,000020,MAT000011,CHEM,P003,99,113.47,11233.53,2023-02-17,L002
OR00000090,000030,MAT000026,CHEM,P003,105,375.13,39388.65,2023-02-17,L003
OR00000090,000040,MAT000033,CHEM,P003,115,456.83,52535.45,2023-02-17,L002
OR00000091,000010,MAT000005,ELEC,P005,18,451.93,8134.74,2022-01-27,L002
OR00000091,000020,MAT000037,CHEM,P005,149,86.45,12881.05,2022-01-27,L004
OR00000091,000030,MAT000008,PACK,P005,32,359.87,11515.84,2022-01-27,L004
OR00000092,000010,MAT000030,CONS,P005,127,157.54,20007.58,2023-08-24,L001
OR00000092,000020,MAT000037,CHEM,P005,91,6.49,590.59,2023-08-24,L002
OR00000092,000030,MAT000004,PACK,P005,123,214.73,26411.79,2023-08-24,L001
OR00000092,000040,MAT000036,CHEM,P005,166,467.62,77624.92,2023-08-24,L001
OR00000093,000010,MAT000024,ELEC,P001,290,437.9,126991.0,2023-10-06,L002
OR00000093,000020,MAT000025,CONS,P001,269,63.72,17140.68,2023-10-06,L004
OR00000093,000030,MAT000029,CHEM,P001,162,489.47,79294.14,2023-10-06,L001
OR00000093,000040,MAT000006,MECH,P001,219,152.69,33439.11,2023-10-06,L004
OR00000094,000010,MAT000013,CONS,P004,164,384.2,63008.8,2023-04-28,L001
OR00000094,000020,MAT000008,PACK,P004,54,54.94,2966.76,2023-04-28,L001
OR00000094,000030,MAT000003,MECH,P004,119,353.13,42022.47,2023-04-28,L001
OR00000095,000010,MAT000009,ELEC,P001,216,120.91,26116.56,2023-10-16,L003
OR00000096,000010,MAT000027,PACK,P005,58,474.52,27522.16,2023-03-06,L002
OR00000096,000020,MAT000020,ELEC,P005,172,280.15,48185.8,2023-03-06,L001
OR00000097,000010,MAT000020,ELEC,P004,52,239.39,12448.28,2023-03-29,L002
OR00000097,000020,MAT000025,CONS,P004,88,76.45,6727.6,2023-03-29,L004
OR00000098,000010,MAT000016,CONS,P005,138,227.64,31414.32,2023-01-10,L003
OR00000098,000020,MAT000017,PACK,P005,24,415.56,9973.44,2023-01-10,L001
OR00000098,000030,MAT000014,PACK,P005,65,304.46,19789.9,2023-01-10,L001
OR00000098,000040,MAT000022,ELEC,P005,16,382.04,6112.64,2023-01-10,L002
OR00000099,000010,MAT000031,MECH,P002,50,353.37,17668.5,2021-06-30,L004
OR00000100,000010,MAT000020,ELEC,P005,152,235.67,35821.84,2022-01-07,L004
OR00000100,000020,MAT000017,PACK,P005,221,457.59,101127.39,2022-01-07,L003
OR00000100,000030,MAT000024,ELEC,P005,78,283.45,22109.1,2022-01-07,L002
OR00000101,000010,MAT000019,CHEM,P001,42,417.51,17535.42,2021-07-20,L004
OR00000101,000020,MAT000010,PACK,P001,112,344.0,38528.0,2021-07-20,L003
OR00000101,000030,MAT000013,CONS,P001,165,483.42,79764.3,2021-07-20,L004
OR00000101,000040,MAT000022,ELEC,P001,76,398.51,30286.76,2021-07-20,L002
OR00000102,000010,MAT000005,ELEC,P005,105,8.16,856.8,2023-06-23,L002
OR00000103,000010,MAT000024,ELEC,P001,168,8.27,1389.36,2022-09-27,L004
OR00000103,000020,MAT000004,PACK,P001,3,362.49,1087.47,2022-09-27,L003
OR00000103,000030,MAT000040,CHEM,P001,5,350.44,1752.2,2022-09-27,L004
OR00000103,000040,MAT000031,MECH,P001,38,52.68,2001.84,2022-09-27,L002
OR00000104,000010,MAT000006,MECH,P002,130,350.13,45516.9,2023-03-18,L003
OR00000104,000020,MAT000024,ELEC,P002,199,44.91,8937.09,2023-03-18,L001
OR00000104,000030,MAT000026,CHEM,P002,23,191.7,4409.1,2023-03-18,L004
OR00000104,000040,MAT000030,CONS,P002,15,352.91,5293.65,2023-03-18,L001
OR00000105,000010,MAT000015,ELEC,P004,63,347.68,21903.84,2024-03-25,L004
OR00000106,000010,MAT000012,CONS,P001,48,107.54,5161.92,2022-07-19,L002
OR00000107,000010,MAT000035,MECH,P001,270,252.89,68280.3,2022-12-26,L003
OR00000107,000020,MAT000022,ELEC,P001,16,119.91,1918.56,2022-12-26,L001
OR00000107,000030,MAT000025,CONS,P001,128,308.86,39534.08,2022-12-26,L004
OR00000107,000040,MAT000009,ELEC,P001,259,318.89,82592.51,2022-12-26,L004
OR00000108,000010,MAT000006,MECH,P002,212,137.65,29181.8,2023-10-01,L004
OR00000108,000020,MAT000040,CHEM,P002,285,81.37,23190.45,2023-10-01,L004
OR00000108,000030,MAT000019,CHEM,P002,108,50.3,5432.4,2023-10-01,L003
OR00000108,000040,MAT000016,CONS,P002,150,138.53,20779.5,2023-10-01,L002
OR00000109,000010,MAT000007,MECH,P002,89,301.03,26791.67,2022-06-25,L003
OR00000109,000020,MAT000002,CONS,P002,59,209.84,12380.56,2022-06-25,L001
OR00000109,000030,MAT000006,MECH,P002,161,453.08,72945.88,2022-06-25,L002
OR00000109,000040,MAT000023,CHEM,P002,111,344.23,38209.53,2022-06-25,L002
OR00000110,000010,MAT000028,PACK,P003,139,392.42,54546.38,2021-11-10,L003
OR00000110,000020,MAT000018,CHEM,P003,107,361.85,38717.95,2021-11-10,L004
OR00000111,000010,MAT000026,CHEM,P005,97,193.05,18725.85,2022-09-01,L003
OR00000112,000010,MAT000039,CHEM,P003,70,202.13,14149.1,2022-03-31,L003
OR00000112,000020,MAT000013,CONS,P003,82,318.29,26099.78,2022-03-31,L002
OR00000112,000030,MAT000031,MECH,P003,79,409.16,32323.64,2022-03-31,L004
OR00000113,000010,MAT000030,CONS,P001,160,399.85,63976.0,2024-04-30,L001
OR00000114,000010,MAT000028,PACK,P004,26,300.98,7825.48,2023-11-22,L004
OR00000114,000020,MAT000025,CONS,P004,192,460.59,88433.28,2023-11-22,L004
OR00000115,000010,MAT000007,MECH,P001,132,334.02,44090.64,2023-06-20,L002
OR00000116,000010,MAT000028,PACK,P001,23,257.78,5928.94,2024-02-03,L002
OR00000116,000020,MAT000007,MECH,P001,109,234.22,25529.98,2024-02-03,L002
OR00000116,000030,MAT000001,PACK,P001,106,243.97,25860.82,2024-02-03,L003
OR00000117,000010,MAT000030,CONS,P001,163,53.32,8691.16,2023-11-17,L004
OR00000117,000020,MAT000014,PACK,P001,94,27.12,2549.28,2023-11-17,L001
OR00000117,000030,MAT000034,CONS,P001,9,325.75,2931.75,2023-11-17,L002
OR00000118,000010,MAT000030,CONS,P005,50,218.91,10945.5,2022-05-04,L001
OR00000118,000020,MAT000015,ELEC,P005,197,102.68,20227.96,2022-05-04,L004
OR00000118,000030,MAT000026,CHEM,P005,80,111.32,8905.6,2022-05-04,L003
OR00000118,000040,MAT000012,CONS,P005,208,399.02,82996.16,2022-05-04,L001
OR00000119,000010,MAT000032,PACK,P002,146,199.31,29099.26,2024-03-03,L001
OR00000119,000020,MAT000034,CONS,P002,84,231.64,19457.76,2024-03-03,L002
OR00000119,000030,MAT000021,ELEC,P002,187,152.24,28468.88,2024-03-03,L001
OR00000120,000010,MAT000010,PACK,P003,112,289.53,32427.36,2023-04-11,L004
OR00000120,000020,MAT000033,CHEM,P003,47,271.0,12737.0,2023-04-11,L002
OR00000120,000030,MAT000025,CONS,P003,123,147.97,18200.31,2023-04-11,L002
OR00000121,000010,MAT000013,CONS,P004,202,250.01,50502.02,2023-11-21,L004
OR00000121,000020,MAT000025,CONS,P004,162,224.71,36403.02,2023-11-21,L002
OR00000122,000010,MAT000035,MECH,P005,48,285.0,13680.0,2024-03-08,L004
OR00000122,000020,MAT000019,CHEM,P005,141,288.49,40677.09,2024-03-08,L003
OR00000123,000010,MAT000028,PACK,P003,213,376.92,80283.96,2022-09-30,L003
OR00000123,000020,MAT000007,MECH,P003,8,177.55,1420.4,2022-09-30,L001
OR00000124,000010,MAT000040,CHEM,P001,135,107.28,14482.8,2022-01-11,L002
OR00000124,000020,MAT000028,PACK,P001,16,268.48,4295.68,2022-01-11,L002
OR00000124,000030,MAT000011,CHEM,P001,98,149.85,14685.3,2022-01-11,L003
OR00000125,000010,MAT000009,ELEC,P001,30,415.1,12453.0,2022-06-24,L004
OR00000125,000020,MAT000016,CONS,P001,80,318.04,25443.2,2022-06-24,L004
